run,seed,allies,enemies,difficulty,victory_condition,ending,human_victory,turns,score,allies_evacuated,actions,action_log,peak_heap_bytes
run-0646,2048440217342206082,3263,2447,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,29,-12369,0,119519,run-0646-actions.log.gz,24826808
run-0647,-4503373173892980844,3268,3268,NORMAL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,32,-927,217,180447,run-0647-actions.log.gz,25351096
run-0648,-8663648403312444671,3273,4091,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,38,-194,218,241004,run-0648-actions.log.gz,25351096
run-0649,-8945189529996217436,3278,4917,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,35,15039,1038,252618,run-0649-actions.log.gz,25875384
run-0650,8349504661566021587,3283,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,35,35446,3283,210876,run-0650-actions.log.gz,26399672
run-0651,-3143934837248208579,3288,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,29,24946,2157,180899,run-0651-actions.log.gz,26923960
run-0652,5400524439059116149,3292,1646,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,33,18083,2160,142867,run-0652-actions.log.gz,26923960
run-0653,8639029451744132638,3297,2473,FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,33,-12489,0,154244,run-0653-actions.log.gz,27448248
run-0654,8256089449335647176,3302,3302,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,30,-11926,0,151347,run-0654-actions.log.gz,27972536
run-0655,-985247632350753282,3307,4134,DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,21,-169,220,148571,run-0655-actions.log.gz,28013656
run-0656,5236868342614644342,3312,4968,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,27,569,220,204756,run-0656-actions.log.gz,28537944
run-0657,8803790281436519544,3317,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_JUGADOR,true,26,15064,1050,188299,run-0657-actions.log.gz,29021112
run-0658,2619405863709826621,3322,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,34,35720,3322,219662,run-0658-actions.log.gz,29021112
